experiment_id,experiment_version,cell_id,task_id,repository,task_type,condition,model,reasoning_effort,repeat,status,terminal_reason,recall_at_3,recall_at_5,ndcg_at_3,returned_set_f1,provider_total_tokens,elapsed_seconds,agent_step_count,wiki_read_count,wiki_tokens,unique_wiki_pages,beyond_entry_reads,gold_seen_any,gold_seen_by_3_source_actions,gold_targeted_any
sympy-10-tasks,2026-09-01-v4,cell-000040,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,low,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,39427,24.704,2,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000041,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,low,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,59606,31.477,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000042,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,low,1,succeeded,,1.0,1.0,1.0,0.5,54771,29.837,3,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000043,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,medium,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,60219,32.607,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000044,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,medium,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,59541,29.337,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000045,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,medium,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,83889,49.71,5,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000046,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,high,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,76651,33.952,4,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000047,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,high,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,42508,23.401,2,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000048,04ba06dd6719ec7d254ffc75b12bba3f4566331632d985653c1f8d172bfd4d90,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,high,1,succeeded,,1.0,1.0,1.0,0.6666666666666666,55413,29.103,3,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000049,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-luna,medium,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.5714285714285714,108295,34.274,4,0,0,0,0,1,1,1
